               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10043,            0.069269,            0.050554,             0.58141,              0.2556,             0.18704,            0.069794,            0.070729,            0.058671,            0.032184,            0.070132,           0.0033187,           0.0033187
                   1,            0.071172,            0.069314,            0.030096,             0.64416,             0.37772,             0.35414,             0.15736,            0.062402,            0.052717,            0.021548,             0.04011,           0.0066301,           0.0066301
                   2,            0.065919,             0.06588,            0.023635,             0.66815,             0.46385,             0.49245,             0.30856,            0.051844,            0.051873,            0.017691,            0.010066,           0.0099195,           0.0099195
                   3,            0.057968,            0.062924,            0.019728,             0.83084,             0.54949,              0.6487,             0.40044,            0.047913,            0.049459,             0.01517,            0.009901,            0.009901,            0.009901
                   4,            0.052394,            0.060217,            0.017378,              0.8864,             0.57966,             0.69844,             0.41618,             0.04133,            0.047698,            0.013591,            0.009901,            0.009901,            0.009901
                   5,            0.048628,            0.059408,            0.015835,             0.88007,              0.6598,             0.72618,             0.46329,            0.038494,            0.047928,            0.011939,            0.009868,            0.009868,            0.009868
                   6,            0.046938,            0.058336,            0.014593,             0.88006,             0.67454,             0.73999,             0.48855,             0.03709,            0.048368,             0.01122,            0.009835,            0.009835,            0.009835
                   7,             0.04492,            0.056809,            0.013709,             0.82631,             0.72515,             0.76621,              0.5234,            0.035405,            0.044566,            0.011093,            0.009802,            0.009802,            0.009802
                   8,            0.043281,            0.056554,             0.01298,              0.8697,             0.72186,             0.77859,             0.54586,            0.033532,            0.044705,            0.009868,            0.009769,            0.009769,            0.009769
                   9,            0.042764,            0.055896,            0.012291,               0.908,             0.72805,             0.79308,             0.56388,             0.03242,            0.042588,           0.0094565,            0.009736,            0.009736,            0.009736
                  10,            0.041451,            0.053462,              0.0116,             0.89965,              0.7639,             0.80717,             0.56714,            0.032496,            0.042745,           0.0091241,            0.009703,            0.009703,            0.009703
                  11,            0.040878,            0.053573,            0.011419,             0.89817,             0.73938,             0.80573,             0.57991,            0.031008,            0.042973,           0.0090647,             0.00967,             0.00967,             0.00967
                  12,            0.040408,            0.053682,            0.011231,             0.88274,             0.71874,             0.80186,             0.58628,            0.031332,            0.044008,            0.008958,            0.009637,            0.009637,            0.009637
                  13,            0.039716,            0.052446,            0.010788,              0.9171,             0.74425,             0.81787,             0.59345,            0.029322,            0.040698,           0.0084751,            0.009604,            0.009604,            0.009604
                  14,             0.03891,            0.051664,             0.01044,             0.84511,             0.78081,             0.81707,             0.59393,            0.029344,            0.041226,           0.0083084,            0.009571,            0.009571,            0.009571
                  15,            0.038806,            0.052008,            0.010441,             0.88942,             0.76389,             0.81416,             0.60105,            0.029095,             0.04117,           0.0082755,            0.009538,            0.009538,            0.009538
                  16,            0.038242,             0.05215,            0.010148,              0.9045,             0.75876,             0.83317,             0.62575,            0.029228,            0.044505,           0.0079307,            0.009505,            0.009505,            0.009505
                  17,            0.037587,            0.050653,            0.009947,             0.91632,             0.76507,             0.83618,             0.62093,            0.028967,            0.042269,           0.0077754,            0.009472,            0.009472,            0.009472
                  18,            0.037008,            0.050639,           0.0097384,              0.9208,              0.7815,             0.85313,             0.64777,            0.026974,             0.03918,           0.0073505,            0.009439,            0.009439,            0.009439
                  19,            0.036583,            0.049754,           0.0094646,             0.91692,             0.76284,             0.88636,             0.66415,            0.028293,            0.042008,           0.0075416,            0.009406,            0.009406,            0.009406
                  20,            0.036438,            0.050268,           0.0094026,             0.88637,             0.77928,             0.87653,              0.6684,            0.028109,            0.040572,           0.0076587,            0.009373,            0.009373,            0.009373
                  21,            0.035991,             0.04918,           0.0093456,             0.89659,             0.75732,             0.88299,             0.66258,             0.02822,            0.039605,           0.0074649,             0.00934,             0.00934,             0.00934
                  22,            0.035904,            0.049309,           0.0091796,             0.93754,             0.76201,             0.90422,             0.69032,            0.026082,            0.039307,           0.0071921,            0.009307,            0.009307,            0.009307
                  23,            0.035483,            0.048914,           0.0090341,             0.77386,             0.88625,             0.91545,             0.69992,            0.027044,            0.039024,            0.007221,            0.009274,            0.009274,            0.009274
                  24,            0.035109,            0.048846,           0.0089688,             0.84091,             0.84873,             0.90358,             0.68448,            0.026901,            0.043076,           0.0074821,            0.009241,            0.009241,            0.009241
                  25,            0.034728,            0.047928,           0.0089457,             0.79461,             0.87365,             0.91324,             0.70948,            0.025761,            0.038873,           0.0068404,            0.009208,            0.009208,            0.009208
                  26,            0.034357,            0.047584,           0.0087477,             0.92019,             0.85531,              0.9214,             0.70532,            0.025255,             0.03857,            0.006982,            0.009175,            0.009175,            0.009175
                  27,            0.033884,            0.047634,           0.0086101,             0.89081,              0.8741,             0.91819,             0.71506,            0.025951,             0.03823,           0.0068205,            0.009142,            0.009142,            0.009142
                  28,            0.033689,            0.046694,            0.008235,             0.93188,             0.86211,             0.91892,             0.72147,            0.025096,            0.038765,            0.006677,            0.009109,            0.009109,            0.009109
                  29,             0.03379,            0.047325,           0.0083289,             0.89144,             0.85457,             0.91426,             0.71707,            0.025943,             0.03873,           0.0071159,            0.009076,            0.009076,            0.009076
                  30,            0.033389,            0.046506,           0.0082737,             0.91933,              0.8621,             0.91724,              0.7141,            0.025013,            0.040098,           0.0064972,            0.009043,            0.009043,            0.009043
                  31,            0.032925,            0.046386,            0.008151,             0.92403,             0.88183,             0.92258,             0.72086,            0.024662,            0.039429,           0.0064724,             0.00901,             0.00901,             0.00901
                  32,            0.033239,            0.046292,           0.0080128,             0.90591,             0.87739,             0.91906,             0.71339,            0.024651,            0.038376,           0.0063611,            0.008977,            0.008977,            0.008977
                  33,             0.03301,            0.046704,           0.0081479,             0.91065,              0.8777,             0.92345,             0.71618,            0.024629,            0.037716,           0.0064734,            0.008944,            0.008944,            0.008944
                  34,            0.032819,            0.046233,           0.0079572,             0.92087,             0.89139,             0.93032,             0.72974,            0.024424,              0.0374,           0.0061244,            0.008911,            0.008911,            0.008911
                  35,            0.031979,            0.045275,           0.0077214,             0.89901,             0.85841,             0.91077,               0.708,            0.024575,            0.038965,           0.0063692,            0.008878,            0.008878,            0.008878
                  36,            0.031913,              0.0448,           0.0077227,             0.91687,             0.88257,             0.92669,             0.73602,            0.024123,            0.037523,           0.0063091,            0.008845,            0.008845,            0.008845
                  37,            0.032082,            0.045476,           0.0077782,             0.90856,             0.88615,             0.92694,             0.71724,            0.023969,            0.037266,           0.0058248,            0.008812,            0.008812,            0.008812
                  38,            0.031788,            0.045284,           0.0075567,             0.91632,             0.87511,             0.91692,             0.72801,            0.023809,            0.036675,            0.006051,            0.008779,            0.008779,            0.008779
                  39,            0.031445,            0.044447,           0.0076117,             0.91588,             0.86586,             0.91968,             0.73074,            0.023805,               0.039,           0.0060437,            0.008746,            0.008746,            0.008746
                  40,            0.031701,            0.044902,           0.0075161,             0.92973,             0.87097,             0.92545,             0.74099,            0.023446,            0.037627,           0.0060038,            0.008713,            0.008713,            0.008713
                  41,            0.031417,            0.044311,           0.0075075,             0.91566,             0.88997,              0.9336,              0.7537,            0.023467,            0.036218,           0.0057807,             0.00868,             0.00868,             0.00868
                  42,            0.031283,            0.043922,           0.0073614,             0.92594,             0.86093,             0.92398,              0.7419,            0.023304,            0.038077,           0.0062458,            0.008647,            0.008647,            0.008647
                  43,            0.031032,            0.044386,           0.0073344,             0.92549,             0.87324,             0.92825,             0.75292,             0.02321,            0.036625,            0.006165,            0.008614,            0.008614,            0.008614
                  44,            0.030975,            0.044098,           0.0073478,             0.93749,             0.86016,             0.92729,             0.74087,            0.023093,            0.036915,           0.0057669,            0.008581,            0.008581,            0.008581
                  45,            0.030911,            0.044005,           0.0072022,             0.91923,             0.88892,             0.92932,             0.74441,            0.022991,            0.037802,           0.0058338,            0.008548,            0.008548,            0.008548
                  46,            0.031165,            0.043818,           0.0070977,             0.93353,             0.86586,             0.92585,             0.74013,            0.022961,            0.037117,           0.0056894,            0.008515,            0.008515,            0.008515
                  47,            0.030921,            0.044009,           0.0071167,             0.91352,             0.84484,             0.91455,             0.74438,            0.023021,            0.035827,           0.0059806,            0.008482,            0.008482,            0.008482
                  48,            0.030823,            0.043952,           0.0072421,             0.90964,             0.87074,             0.92596,             0.75225,            0.022391,             0.03594,           0.0056275,            0.008449,            0.008449,            0.008449
                  49,             0.03072,            0.043659,           0.0070765,             0.92177,             0.87629,             0.93641,             0.75829,            0.022468,             0.03672,            0.005764,            0.008416,            0.008416,            0.008416
                  50,            0.030358,            0.043226,           0.0070554,             0.92763,             0.87996,             0.92883,             0.75692,            0.022231,            0.035792,           0.0056874,            0.008383,            0.008383,            0.008383
                  51,            0.030359,            0.043266,           0.0071413,              0.9414,             0.87957,              0.9352,             0.76156,            0.022672,             0.03663,           0.0058498,             0.00835,             0.00835,             0.00835
                  52,            0.029748,            0.042662,           0.0069027,             0.93416,             0.88573,             0.93987,             0.75835,            0.022356,            0.036403,           0.0058308,            0.008317,            0.008317,            0.008317
                  53,            0.030271,            0.042918,           0.0070015,             0.92175,             0.88003,             0.93131,             0.75584,            0.022509,            0.036464,           0.0056636,            0.008284,            0.008284,            0.008284
                  54,             0.03007,            0.043331,           0.0068039,             0.92354,              0.8851,             0.93511,             0.76337,            0.022478,            0.036892,           0.0055618,            0.008251,            0.008251,            0.008251
                  55,             0.02962,            0.042625,           0.0067497,             0.92017,             0.89895,             0.93971,             0.76722,            0.022076,            0.036657,           0.0055294,            0.008218,            0.008218,            0.008218
                  56,            0.029631,            0.042415,           0.0067249,             0.93111,             0.87968,             0.93518,             0.76383,            0.022133,            0.037709,           0.0055422,            0.008185,            0.008185,            0.008185
                  57,             0.02971,            0.042692,           0.0068041,             0.91167,             0.88522,             0.93542,             0.76964,            0.022158,            0.036972,           0.0055368,            0.008152,            0.008152,            0.008152
                  58,            0.029088,              0.0415,           0.0066664,             0.93847,             0.86514,             0.92592,             0.76057,            0.021949,            0.036236,           0.0056886,            0.008119,            0.008119,            0.008119
                  59,            0.029495,            0.042146,           0.0066955,             0.92761,             0.88051,             0.94009,             0.76292,            0.022141,            0.036426,           0.0056424,            0.008086,            0.008086,            0.008086
                  60,            0.029262,             0.04168,           0.0065931,              0.9312,             0.89345,              0.9394,             0.76804,            0.021935,            0.035424,           0.0056493,            0.008053,            0.008053,            0.008053
                  61,            0.029356,            0.042146,           0.0066209,             0.93273,             0.88251,             0.93554,             0.76748,            0.022056,            0.036002,           0.0056649,             0.00802,             0.00802,             0.00802
                  62,            0.029621,            0.041767,           0.0066199,             0.94343,             0.87255,             0.93337,             0.76957,            0.021569,            0.035332,           0.0054492,            0.007987,            0.007987,            0.007987
                  63,               0.029,             0.04221,           0.0065441,             0.90751,              0.8925,             0.93445,             0.76927,            0.021616,            0.035349,           0.0055117,            0.007954,            0.007954,            0.007954
                  64,            0.029136,            0.041932,           0.0065859,             0.92704,             0.88866,             0.93735,             0.76748,            0.021544,            0.034609,           0.0053359,            0.007921,            0.007921,            0.007921
                  65,            0.028853,            0.041578,           0.0064586,             0.92796,             0.88758,             0.93148,             0.76838,             0.02183,            0.037274,           0.0054593,            0.007888,            0.007888,            0.007888
                  66,            0.028626,            0.041063,           0.0063636,             0.92385,             0.87901,             0.93063,             0.77078,            0.021359,            0.035901,           0.0055926,            0.007855,            0.007855,            0.007855
