epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5471,4.15172,4.35483,4.09933,0.01325,0.06401,0.00624,0.00205,3.84929,5.17074,3.5586,0.00331871,0.00331871,0.00331871
2,63.0629,3.1833,2.58202,2.94318,0.37051,0.02842,0.01397,0.00478,3.63421,3.47376,3.26761,0.0066301,0.0066301,0.0066301
3,85.9994,2.32391,1.88407,2.13652,0.49174,0.27027,0.24807,0.11047,1.97298,1.52203,1.81446,0.00991948,0.00991948,0.00991948
4,108.845,1.87772,1.57404,1.64931,0.5857,0.34344,0.36716,0.18754,1.5953,1.40415,1.45224,0.009901,0.009901,0.009901
5,131.9,1.60628,1.37856,1.40133,0.59356,0.52659,0.50585,0.2884,1.34467,1.35994,1.26396,0.009868,0.009868,0.009868
6,154.594,1.44118,1.25854,1.2768,0.57122,0.52752,0.54764,0.33698,1.263,1.11155,1.20979,0.009835,0.009835,0.009835
7,177.619,1.32039,1.16095,1.19255,0.60239,0.40676,0.38255,0.2375,1.54896,1.33894,1.31409,0.009802,0.009802,0.009802
8,201.098,1.25102,1.0918,1.13855,0.69862,0.49905,0.53616,0.35055,1.19066,1.12047,1.12199,0.009769,0.009769,0.009769
9,224.227,1.18534,1.04125,1.1072,0.62522,0.49914,0.52034,0.35479,1.15811,1.03443,1.11587,0.009736,0.009736,0.009736
10,246.782,1.13948,1.00216,1.07836,0.70428,0.70015,0.74548,0.53039,0.99385,0.85669,1.00176,0.009703,0.009703,0.009703
11,269.527,1.09854,0.95886,1.05084,0.76722,0.71431,0.78714,0.57958,0.93153,0.80327,0.97518,0.00967,0.00967,0.00967
12,292.243,1.05778,0.92635,1.03403,0.73597,0.70554,0.76586,0.57259,0.96664,0.83974,0.97636,0.009637,0.009637,0.009637
13,315.224,1.02815,0.89928,1.01862,0.78199,0.73065,0.79331,0.60488,0.8584,0.75408,0.94771,0.009604,0.009604,0.009604
14,338.25,1.00251,0.87903,1.00813,0.72103,0.70934,0.77287,0.59778,0.88973,0.76353,0.9498,0.009571,0.009571,0.009571
15,361.46,0.97516,0.85168,0.99505,0.79107,0.7574,0.81818,0.64628,0.81001,0.71999,0.92748,0.009538,0.009538,0.009538
16,384.63,0.9488,0.82954,0.98808,0.72148,0.76032,0.79647,0.62116,0.83003,0.73418,0.93264,0.009505,0.009505,0.009505
17,407.484,0.93077,0.80674,0.97923,0.74204,0.77798,0.80689,0.64733,0.78896,0.69265,0.92315,0.009472,0.009472,0.009472
18,429.738,0.90858,0.79839,0.97255,0.80888,0.77008,0.83487,0.67514,0.77593,0.67706,0.91301,0.009439,0.009439,0.009439
